Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-06-01 02:48:00,820030,820439,820030,820297,5.1703486,4240768.8538,820209.46398
2018-06-01 02:49:00,820297,820297,820200,820200,1.0424,854976.868,820200.37222
2018-06-01 02:50:00,820297,820297,820200,820200,1.794302,1471704.9306,820210.27151
2018-06-01 02:51:00,820080,820080,819705,819928,1.19145034,976984.5219,819996.00747
2018-06-01 02:52:00,819905,819995,819324,819700,1.65717839,1358398.1097,819705.42089
2018-06-01 02:53:00,819425,819425,819092,819237,0.6085,498442.96,819133.87017
2018-06-01 02:54:00,819247,819247,818989,818989,14.80240003,12123899.019,819049.5456300002
2018-06-01 02:55:00,819000,819024,818825,819019,2.425522,1986208.0204,818878.58384
2018-06-01 02:56:00,818838,819000,818838,819000,0.39541109,323828.16271,818965.80774
2018-06-01 02:57:00,819000,819000,818749,818749,16.53503139,13539856.597,818858.83843
2018-06-01 02:58:00,818749,819000,818749,818838,3.1712601,2596766.9532,818843.88896
2018-06-01 02:59:00,818750,818838,818750,818800,2.57528082,2108615.3904,818790.469
2018-06-01 03:00:00,818800,818800,818800,818800,0.01,8188.0,818800.0
2018-06-01 03:01:00,818800,818800,818800,818800,0.01,8188.0,818800.0
2018-06-01 03:02:00,818800,818800,818800,818800,0.01,8188.0,818800.0
2018-06-01 03:03:00,818800,818800,818800,818800,0.01,8188.0,818800.0
2018-06-01 03:04:00,818800,818800,818800,818800,0.01,8188.0,818800.0
2018-06-01 03:05:00,817000,818294,816820,816977,34.65541258,28316362.256,817083.39761
2018-06-01 03:06:00,816977,817128,815722,816999,35.78354559,29214624.246,816426.20271
2018-06-01 03:07:00,816999,817000,816358,816358,23.61767095,19293898.888,816926.3992699998
2018-06-01 03:08:00,816664,818458,816504,818079,10.04818577,8214214.7799,817482.37622
2018-06-01 03:09:00,818089,818838,818000,818000,19.69587994,16118630.695,818375.75897
2018-06-01 03:10:00,818035,818684,818000,818049,2.504005,2048319.3601,818017.2803699998
2018-06-01 03:11:00,818500,818500,817956,818380,12.77774484,10452294.064,818007.73104
2018-06-01 03:12:00,818352,818728,818000,818395,3.64895516,2985815.3039999995,818265.8248899998
2018-06-01 03:13:00,818395,819000,818286,818910,14.54192917,11906307.681,818757.09489
2018-06-01 03:14:00,818910,819000,818326,819000,5.11530026,4188627.2572,818842.8917800002
2018-06-01 03:15:00,819000,819397,818803,819131,7.25,5938248.7099,819068.7875699998
2018-06-01 03:16:00,819522,819539,819334,819516,2.1312,1746494.2672,819488.67644
2018-06-01 03:17:00,819342,819550,819276,819301,4.66780454,3824768.4959,819393.45642
2018-06-01 03:18:00,819301,819432,818610,818807,7.46860039,6116822.3151,819005.16773
2018-06-01 03:19:00,818800,818800,818710,818710,0.63609999,520784.97781,818715.5887399998
2018-06-01 03:20:00,818710,819000,818710,818800,1.18710014,972206.27584,818975.79074
2018-06-01 03:21:00,818835,818835,818800,818800,0.067,54859.848,818803.70149
2018-06-01 03:22:00,818800,819028,818800,819028,4.11058334,3366123.9919,818892.0436399998
2018-06-01 03:23:00,819145,819146,819000,819000,0.7909999999999999,647900.496,819090.38685
2018-06-01 03:24:00,819000,819145,818999,819145,0.2581,211399.8285,819061.71445
2018-06-01 03:25:00,819145,819145,818960,818960,1.46523342,1200047.6182,819014.6373899998
2018-06-01 03:26:00,819000,819000,818801,819000,2.1935,1796446.6325,818986.38363
2018-06-01 03:27:00,818999,819000,818918,819000,1.6749,1371720.0234,818986.2221
2018-06-01 03:28:00,818984,819000,818984,819000,1.01,827177.34,818987.46534
2018-06-01 03:29:00,818997,818997,818507,818507,7.75273699,6347229.7411,818708.2509399998
2018-06-01 03:30:00,818800,818800,818500,818500,4.5133,3694396.016,818557.59998
2018-06-01 03:31:00,818512,818627,818480,818480,0.8635,706771.5029,818496.23961
2018-06-01 03:32:00,818480,818894,818480,818894,4.0661,3328903.1645,818696.82607
2018-06-01 03:33:00,818596,818971,818590,818971,2.926158,2395978.3536,818813.7324
2018-06-01 03:34:00,818607,819002,818607,819002,8.56979299,7018602.9059,818993.2842100002
2018-06-01 03:35:00,819042,819716,819042,819276,3.3680000000000003,2759711.0931,819391.65472
2018-06-01 03:36:00,818936,819276,818936,819205,0.9745009,798179.4986,819064.9168199998
2018-06-01 03:37:00,819205,819749,819205,819749,1.35326129,1108799.4743,819353.57386
2018-06-01 03:38:00,819749,820000,819500,820000,2.32431692,1905325.4139,819735.63822
2018-06-01 03:39:00,820000,820148,819520,819520,7.31633662,5998608.3943,819892.34584
2018-06-01 03:40:00,819922,819922,819540,819586,2.08894327,1711995.1294,819550.80062
2018-06-01 03:41:00,819586,820084,819573,819731,2.58075512,2115993.5131,819912.55067
2018-06-01 03:42:00,819673,820179,819673,819722,2.01220888,1649790.9699,819890.51251
2018-06-01 03:43:00,820065,820112,819750,820112,3.56011263,2919219.7064,819979.5933
2018-06-01 03:44:00,820112,820148,820003,820148,1.12028195,918675.15575,820039.23722
2018-06-01 03:45:00,820112,820538,820112,820112,1.70583615,1399327.3635,820317.56889
2018-06-01 03:46:00,820113,820461,820100,820106,1.95985839,1607336.9972,820129.15086
2018-06-01 03:47:00,820100,820373,820000,820000,5.975746,4900674.8834,820094.2415100002
2018-06-01 03:48:00,820000,820213,819862,819944,7.391139999999999,6060769.669,820004.71768
2018-06-01 03:49:00,819862,820000,819540,819688,15.03402485,12324963.961,819804.68197
2018-06-01 03:50:00,819540,819906,819205,819205,2.09990769,1721014.6257,819566.7999600002
2018-06-01 03:51:00,819205,819205,819000,819175,3.39303323,2779241.2128,819102.26761
2018-06-01 03:52:00,819000,819311,818939,819000,1.19383101,977760.82677,819011.08162
2018-06-01 03:53:00,819005,819522,819000,819178,0.86615583,709642.26043,819300.91082
2018-06-01 03:54:00,819188,819417,819000,819000,2.82692636,2315581.9139,819116.46043
2018-06-01 03:55:00,819000,819000,818832,818832,1.64331772,1345673.7563,818876.19168
2018-06-01 03:56:00,818832,818945,818500,818785,3.7686,3085448.3772,818725.35615
2018-06-01 03:57:00,818785,819646,818618,819150,1.75339879,1436578.6642,819310.85638
2018-06-01 03:58:00,818794,819594,818794,819335,0.74705445,611890.7133899999,819071.10438
2018-06-01 03:59:00,819333,819696,818825,818825,3.44739758,2824547.9065,819327.5771100002
2018-06-01 04:00:00,819216,819216,818400,818400,5.7481,4705463.2322,818611.9295399998
2018-06-01 04:01:00,818401,818960,818400,818400,5.45709801,4466601.3793,818493.89017
2018-06-01 04:02:00,818705,818705,818000,818000,6.38987241,5228878.8891,818307.2452100002
2018-06-01 04:03:00,818000,818093,816500,817070,8.8900793,7263240.4774,817005.13935
2018-06-01 04:04:00,817210,818797,816741,818373,8.29248859,6782662.7385,817928.4981600002
2018-06-01 04:05:00,818651,818870,818413,818860,1.90963066,1563533.3744,818762.1863899998
2018-06-01 04:06:00,819189,819700,818732,819412,7.03778187,5765607.5765,819236.47009
2018-06-01 04:07:00,819425,819426,818171,818171,1.7205,1408900.4293,818890.10714
2018-06-01 04:08:00,817908,818452,817805,818448,3.90700026,3196517.7664,818151.40868
2018-06-01 04:09:00,818417,819162,818412,818484,4.1213,3373894.9946,818648.24075
2018-06-01 04:10:00,818568,818775,817931,818694,6.74251685,5516923.8335,818229.1503699998
2018-06-01 04:11:00,818687,818851,818607,818607,1.0746,879797.2299,818720.66806
2018-06-01 04:12:00,818300,818603,818202,818603,0.263,215280.95456,818558.7625899998
2018-06-01 04:13:00,818575,818580,818202,818270,0.479,391983.91,818338.0167
2018-06-01 04:14:00,818244,818762,818201,818428,2.63297487,2154678.4217,818343.70934
2018-06-01 04:15:00,818484,818806,818455,818665,1.14290999,935740.34346,818734.9412
2018-06-01 04:16:00,818767,818817,818386,818817,2.3700535,1940283.1296,818666.3843899998
